,n = 500,n = 1000,n = 1500,n = 2000
0,0.056,0.038,0.034666666666666665,0.0325
1,0.058,0.038,0.037333333333333336,0.031
2,0.054,0.037,0.027333333333333334,0.0245
3,0.084,0.038,0.028,0.033
4,0.068,0.036,0.032,0.0355
5,0.056,0.041,0.03866666666666667,0.03
6,0.054,0.054,0.03,0.036
7,0.048,0.047,0.03,0.025
8,0.06,0.041,0.030666666666666665,0.0265
9,0.056,0.034,0.03333333333333333,0.031
10,0.06,0.037,0.037333333333333336,0.0275
11,0.05,0.041,0.04533333333333334,0.028
12,0.058,0.035,0.037333333333333336,0.0275
13,0.054,0.033,0.035333333333333335,0.032
14,0.064,0.042,0.032,0.027
15,0.052,0.033,0.027333333333333334,0.032
16,0.066,0.041,0.035333333333333335,0.026
17,0.058,0.04,0.03133333333333333,0.029
18,0.05,0.044,0.028,0.0285
19,0.048,0.042,0.036,0.0325
20,0.064,0.042,0.029333333333333333,0.029
21,0.05,0.038,0.030666666666666665,0.0265
22,0.048,0.033,0.032,0.026
23,0.062,0.047,0.030666666666666665,0.0335
24,0.058,0.034,0.03333333333333333,0.034
25,0.104,0.041,0.03266666666666666,0.0265
26,0.048,0.039,0.043333333333333335,0.0255
27,0.048,0.043,0.034,0.027
28,0.058,0.044,0.034,0.075
29,0.052,0.04,0.03333333333333333,0.0245
30,0.044,0.046,0.03133333333333333,0.0245
31,0.054,0.035,0.03,0.025
32,0.05,0.036,0.04666666666666667,0.035
33,0.054,0.042,0.04,0.027
34,0.05,0.037,0.03933333333333333,0.029
35,0.08,0.034,0.034,0.0275
36,0.07,0.063,0.027333333333333334,0.026
37,0.048,0.036,0.030666666666666665,0.036
38,0.046,0.042,0.03333333333333333,0.0295
39,0.058,0.038,0.03266666666666666,0.0275
40,0.048,0.041,0.029333333333333333,0.025
41,0.062,0.033,0.027333333333333334,0.037
42,0.054,0.032,0.034666666666666665,0.026
43,0.048,0.04,0.03666666666666667,0.0305
44,0.054,0.039,0.03666666666666667,0.026
45,0.058,0.037,0.038,0.0255
46,0.052,0.046,0.037333333333333336,0.0305
47,0.056,0.037,0.030666666666666665,0.028
48,0.058,0.034,0.028666666666666667,0.0315
49,0.062,0.041,0.03133333333333333,0.027
50,0.058,0.036,0.034666666666666665,0.0285
51,0.048,0.033,0.032,0.029
52,0.048,0.038,0.030666666666666665,0.032
53,0.06,0.039,0.03133333333333333,0.0325
54,0.058,0.042,0.029333333333333333,0.024
55,0.052,0.039,0.035333333333333335,0.0345
56,0.054,0.039,0.037333333333333336,0.027
57,0.054,0.047,0.03266666666666666,0.0275
58,0.06,0.039,0.028666666666666667,0.0245
59,0.066,0.041,0.034,0.027
60,0.05,0.042,0.04533333333333334,0.035
61,0.06,0.036,0.04,0.0245
62,0.072,0.036,0.04466666666666667,0.0245
63,0.052,0.042,0.03133333333333333,0.026
64,0.056,0.045,0.03666666666666667,0.0275
65,0.058,0.046,0.032,0.0285
66,0.076,0.044,0.03266666666666666,0.0265
67,0.056,0.037,0.032,0.028
68,0.058,0.041,0.03666666666666667,0.0325
69,0.046,0.034,0.028,0.029
70,0.056,0.064,0.030666666666666665,0.033
71,0.048,0.047,0.026,0.0355
72,0.044,0.04,0.030666666666666665,0.0305
73,0.056,0.037,0.028666666666666667,0.027
74,0.07,0.081,0.03666666666666667,0.0295
75,0.064,0.038,0.03,0.034
76,0.062,0.043,0.028,0.0295
77,0.048,0.041,0.03133333333333333,0.03
78,0.09,0.037,0.02666666666666667,0.0235
79,0.064,0.052,0.032,0.0305
80,0.046,0.041,0.03133333333333333,0.025
81,0.048,0.037,0.03866666666666667,0.024
82,0.054,0.036,0.034,0.028
83,0.054,0.039,0.029333333333333333,0.029
84,0.08,0.032,0.035333333333333335,0.025
85,0.062,0.034,0.028,0.0265
86,0.05,0.042,0.042666666666666665,0.03
87,0.05,0.042,0.029333333333333333,0.0315
88,0.102,0.041,0.036,0.0255
89,0.052,0.038,0.028,0.026
90,0.068,0.036,0.03333333333333333,0.03
91,0.05,0.038,0.032,0.0315
92,0.056,0.046,0.03133333333333333,0.0275
93,0.052,0.034,0.030666666666666665,0.025
94,0.05,0.034,0.038,0.024
95,0.06,0.045,0.037333333333333336,0.0365
96,0.064,0.038,0.03333333333333333,0.0255
97,0.052,0.041,0.028666666666666667,0.0325
98,0.052,0.033,0.034666666666666665,0.0305
99,0.058,0.036,0.030666666666666665,0.029
100,0.046,0.037,0.037333333333333336,0.027
101,0.046,0.045,0.028,0.0265
102,0.058,0.04,0.028666666666666667,0.0295
103,0.056,0.036,0.036,0.027
104,0.072,0.043,0.027333333333333334,0.0315
105,0.05,0.038,0.028666666666666667,0.0255
106,0.056,0.04,0.03866666666666667,0.026
107,0.062,0.033,0.043333333333333335,0.0245
108,0.05,0.037,0.03,0.0285
109,0.048,0.037,0.03,0.026
110,0.054,0.036,0.035333333333333335,0.026
111,0.046,0.043,0.036,0.0285
112,0.052,0.04,0.032,0.029
113,0.05,0.039,0.030666666666666665,0.029
114,0.046,0.035,0.036,0.0255
115,0.062,0.038,0.03266666666666666,0.0285
116,0.056,0.054,0.06133333333333333,0.0275
117,0.048,0.034,0.03,0.027
118,0.05,0.036,0.028,0.027
119,0.066,0.049,0.034666666666666665,0.0255
120,0.06,0.041,0.032,0.027
121,0.058,0.037,0.03866666666666667,0.025
122,0.09,0.047,0.032,0.0285
123,0.06,0.037,0.02666666666666667,0.0345
124,0.068,0.048,0.028666666666666667,0.0245
125,0.058,0.036,0.038,0.032
126,0.05,0.036,0.02666666666666667,0.0295
127,0.07,0.034,0.028,0.031
128,0.05,0.045,0.03266666666666666,0.025
129,0.052,0.035,0.034666666666666665,0.0255
130,0.06,0.04,0.03866666666666667,0.036
131,0.05,0.036,0.046,0.0285
132,0.054,0.039,0.030666666666666665,0.0405
133,0.078,0.043,0.03266666666666666,0.027
134,0.046,0.044,0.035333333333333335,0.031
135,0.046,0.051,0.03,0.0295
136,0.058,0.041,0.035333333333333335,0.0305
137,0.056,0.045,0.030666666666666665,0.036
138,0.056,0.046,0.03333333333333333,0.0265
139,0.052,0.041,0.03133333333333333,0.028
140,0.05,0.037,0.034666666666666665,0.025
141,0.05,0.038,0.03266666666666666,0.0265
142,0.046,0.037,0.030666666666666665,0.0275
143,0.048,0.036,0.04466666666666667,0.0295
144,0.054,0.032,0.042,0.0265
145,0.058,0.035,0.03,0.023
146,0.048,0.041,0.035333333333333335,0.0315
147,0.052,0.034,0.028,0.0245
148,0.054,0.045,0.04066666666666666,0.0255
149,0.05,0.032,0.030666666666666665,0.03
150,0.052,0.038,0.037333333333333336,0.032
151,0.048,0.042,0.034,0.0295
152,0.052,0.052,0.03266666666666666,0.0275
153,0.068,0.052,0.030666666666666665,0.0245
154,0.048,0.041,0.034666666666666665,0.0315
155,0.044,0.034,0.03333333333333333,0.033
156,0.052,0.038,0.03266666666666666,0.0265
157,0.072,0.042,0.030666666666666665,0.0285
158,0.066,0.04,0.036,0.0285
159,0.08,0.037,0.03666666666666667,0.026
160,0.068,0.039,0.035333333333333335,0.025
161,0.05,0.035,0.032,0.0295
162,0.076,0.034,0.036,0.0285
163,0.062,0.035,0.03133333333333333,0.029
164,0.088,0.04,0.032,0.0275
165,0.046,0.035,0.03333333333333333,0.0255
166,0.05,0.037,0.03866666666666667,0.0295
167,0.06,0.041,0.027333333333333334,0.0405
168,0.048,0.04,0.028666666666666667,0.0275
