,n = 500,n = 1000,n = 1500,n = 2000
0,0.016,0.009,0.005333333333333333,1.0
1,0.02,0.006,0.007333333333333333,0.004
2,0.024,0.999,0.006,0.0055
3,0.02,0.006,0.010666666666666666,0.0035
4,0.02,0.007,0.006666666666666667,0.0035
5,0.014,0.999,0.005333333333333333,0.004
6,0.014,0.007,0.004666666666666667,0.0035
7,0.016,0.009,1.0,0.0035
8,0.014,0.007,0.004666666666666667,0.0065
9,1.0,0.006,0.009333333333333334,0.0065
10,0.012,0.008,0.004666666666666667,0.006
11,0.992,0.008,0.005333333333333333,0.0035
12,0.018,0.015,1.0,0.005
13,0.02,0.009,0.006666666666666667,0.0035
14,0.016,1.0,1.0,0.0035
15,0.018,0.012,0.005333333333333333,0.004
16,0.014,0.999,0.006,0.004
17,0.992,1.0,1.0,1.0
18,0.018,0.008,0.007333333333333333,1.0
19,0.018,1.0,0.004666666666666667,0.0035
20,0.04,0.007,1.0,1.0
21,0.016,0.007,0.006666666666666667,1.0
22,0.998,0.997,0.007333333333333333,0.011
23,0.018,0.006,0.008,0.0055
24,0.014,0.008,0.007333333333333333,0.005
25,0.012,0.006,0.005333333333333333,0.008
26,0.984,0.007,0.007333333333333333,1.0
27,0.016,0.008,0.004666666666666667,0.005
28,0.014,1.0,1.0,0.0045
29,0.988,0.008,1.0,0.0035
30,0.014,0.011,1.0,0.005
31,0.012,0.009,0.006666666666666667,0.0045
32,0.014,1.0,0.007333333333333333,0.0045
33,0.014,0.999,0.005333333333333333,0.0045
34,0.014,0.006,0.008666666666666666,0.0035
35,0.014,0.006,1.0,1.0
36,0.994,0.008,0.005333333333333333,0.0065
37,0.02,0.006,0.9993333333333333,1.0
38,0.016,0.01,0.006,0.004
39,0.014,1.0,1.0,0.0035
40,0.014,0.006,0.005333333333333333,1.0
41,0.014,0.007,1.0,0.006
42,0.016,0.006,0.007333333333333333,0.0045
43,0.014,0.999,1.0,0.0045
44,0.012,0.008,0.007333333333333333,0.005
45,0.014,0.007,1.0,0.004
