,n = 500,n = 1000,n = 2000,n = 2500
0,0.722,0.092,0.9706666666666667,0.9795
1,0.074,0.054,0.968,0.983
2,0.822,0.938,0.046,0.981
3,0.854,0.047,0.9686666666666667,0.976
4,0.074,0.908,0.9706666666666667,0.975
5,0.13,0.924,0.9626666666666667,0.9815
6,0.084,0.068,0.96,0.9765
7,0.28,0.937,0.9666666666666667,0.978
8,0.126,0.075,0.05,0.0455
9,0.802,0.908,0.9673333333333334,0.044
10,0.084,0.922,0.9673333333333334,0.984
11,0.084,0.053,0.9706666666666667,0.9815
12,0.07,0.931,0.9593333333333334,0.9805
13,0.842,0.923,0.97,0.9835
14,0.082,0.071,0.964,0.974
15,0.842,0.933,0.9613333333333334,0.977
16,0.18,0.934,0.9653333333333334,0.979
17,0.156,0.061,0.964,0.9775
18,0.124,0.932,0.9633333333333334,0.984
19,0.136,0.907,0.9646666666666667,0.9755
20,0.104,0.055,0.9673333333333334,0.034
21,0.134,0.941,0.07533333333333334,0.0405
22,0.084,0.049,0.9766666666666667,0.982
23,0.144,0.919,0.96,0.0315
24,0.116,0.063,0.9666666666666667,0.032
25,0.816,0.927,0.9513333333333334,0.0295
26,0.09,0.933,0.968,0.9755
27,0.824,0.073,0.9606666666666667,0.9785
28,0.086,0.933,0.9653333333333334,0.9705
29,0.09,0.038,0.952,0.981
30,0.814,0.061,0.9693333333333334,0.9775
31,0.072,0.06,0.9633333333333334,0.03
32,0.2,0.07,0.9626666666666667,0.982
33,0.784,0.934,0.9626666666666667,0.9825
34,0.144,0.92,0.9726666666666667,0.973
35,0.086,0.053,0.9613333333333334,0.029
36,0.152,0.072,0.9566666666666667,0.9865
37,0.16,0.048,0.9733333333333334,0.984
38,0.104,0.928,0.9613333333333334,0.039
39,0.068,0.925,0.9473333333333334,0.0395
40,0.086,0.053,0.9673333333333334,0.978
41,0.16,0.916,0.9726666666666667,0.036
42,0.09,0.936,0.03866666666666667,0.9765
43,0.764,0.068,0.9666666666666667,0.978
44,0.134,0.936,0.9606666666666667,0.9825
45,0.062,0.918,0.9733333333333334,0.988
46,0.808,0.057,0.9646666666666667,0.98
47,0.104,0.052,0.9726666666666667,0.9795
48,0.078,0.942,0.9706666666666667,0.9745
49,0.11,0.046,0.962,0.9775
50,0.074,0.921,0.964,0.036
51,0.076,0.048,0.9606666666666667,0.981
52,0.808,0.921,0.9606666666666667,0.032
53,0.08,0.937,0.9626666666666667,0.9775
54,0.08,0.93,0.9693333333333334,0.9775
